Business ID,Business Name
1,Mandarin Wok
2,Mirabelle Fine Pastries
3,The Cake Artist's Studio
4,The Y Eatery
5,Bacaro
6,Art Mart
7,Bella Mia Boutique
8,English Hedgerow
9,Kofusion
10,Pickles
11,The Art Theater
12,Dos Reales
13,Gumby's Pizza
14,Rod Sickler Salon & Spa
15,Siam Terrace
16,Champaign Ballet Academy
17,Checkered Moon
18,Courier Cafe
19,Guido's Bar & Grill
20,Paris Boutique
21,Strawberry Fields
22,The Red Herring Vegetarian Restaurant
23,University of Illinois
24,Jane Addams Book Shop
25,Krannert Center for the Performing Arts
26,Rubens Chocolate
27,Wonderdogs
28,UPS
29,Durst Cycle & Fitness
30,Olive Garden Italian Restaurant
31,Radio Maria
32,Soma Ultralounge
33,Cafe Kopi
34,Circles Boutique
35,Jerry's Iga
36,Murphy's Pub
37,Pekara Bakery and Bistro
38,The Blind Pig Company
39,Sun Singer Wine and Spirits
40,Biaggi's Ristorante Italiano
41,William M Staerkel Planetarium
42,The Bread Company
43,Hobby Lobby Creative Center
44,Antonio's Pizza
45,Carle Hospital
46,Flat Top Grill
47,Jim Gould
48,Campus Recreation Center East
49,Papa Del's Pizza
50,TGI Friday's
51,Urbana Dog Park
52,Milo's Restaurant
53,El Charro
54,Pasha Mediterranean Cuisine
55,El Torero
56,Famous Dave's
57,La Bamba
58,Fannie May Fine Chocolates
59,Klose Knit
60,Needleworks
61,Potbelly Sandwich Shop
62,Silver Mine Subs
63,Cold Stone Creamery
64,Legends
65,Moonstruck Chocolate Cafe
66,Peking Garden Restaurant
67,Car-X Tire & Auto
68,Culver's
69,Meijer
70,Za's Italian Cafe
71,Espresso Royale
72,Panera Bread
73,Golden Wok
74,The New Sweet Indulgence
75,Monical's Pizza
76,Rosati's Pizza
77,Iron Post
78,Ippatsu Salon
79,Wingstop
80,Chevys Fresh Mex
81,Common Ground Food Co-Op
82,Tang Dynasty
83,Bombay Indian Grill
84,Jarling's Custard Cup
85,Refinery
86,Steak 'n Shake
87,Curtis Orchard & Pumpkin Patch
88,La Bamba
89,Caring Hands Animal Hospital
90,H2O Salon
91,Number One Wok
92,Boltini Lounge
93,Champaign-Urbana Mass Transit District
94,Intermezzo Caf
95,Jupiter's Pizzeria and Billiards
96,Original Pancake House
97,Prime Time Pizza
98,Silvercreek
99,That's Rentertainment
100,World Harvest Foods
101,Zorba's Restaurant
102,Sam's Cafe
103,Escobar's Restaurant
104,BJ Grand Salon & Spa
105,Yuko Hair Salon
106,Perkins Restaurant & Bakery
107,Woori Jib Restaurant
108,Meineke Car Care Center
109,Hawthorn Suites By Wyndham Champaign
110,Far East
111,Home of Gourmet Chinese & Thai Restaurant
112,Manolo's Pizza & Empanadas
113,Bunny's Tavern
114,Dom's Patio Villa
115,Mike N Molly's
116,The Apple Dumplin'
117,Boston Pizza
118,Illini Union Ballroom Dining
119,Jimmy John's
120,Thomas M. Siebel Center for Computer Science
121,University of Illinois Veterinary Teaching Hospital
122,Carle Clinic Association
123,Timpone's
124,Garcia's Pizza In a Pan
125,Notes N Quotes
126,Historic Lincoln Hotel
127,Kane & Company
128,The Habitat for Humanity ReStore
129,County Market
130,DP Dough
131,Basil Thai Cafe
132,Dos Reales
133,Crane Alley
134,Market at the Square
135,Napleton's Auto Park Urbana
136,Wienerschnitzel
137,Billy Barooz Bar & Grill
138,Texas Roadhouse
139,Zelma's
140,Dallas & Co Costumes & Magic
141,Noodles & Company
142,Anita Purves Nature Center
143,Big Lots - Champaign
144,Espresso Royale
145,Minneci's Ristorante
146,Staples
147,Target
148,Am-Ko Oriental Foods & Gifts
149,B Won
150,PetSmart
151,Columbia Street Roastery By Herriott's
152,Chief/Bauer Service Experts
153,Outback Steakhouse
154,Prairie Gardens
155,Subway
156,Big Mouth's
157,Firehaus
158,Bromley Hall
159,Brothers Bar & Grill
160,C.O. Daniel's
161,Clybourne
162,Jiffy Lube
163,Kam's
164,Subway
165,Champaign Public Library
166,Jillian's
167,Planned Parenthood - Champaign Health Center
168,Cowboy Monkey
169,Daily Illini
170,Basil Thai Urbana
171,Bacca Cigar
172,Chipotle Mexican Grill
173,Fitness Center
174,Green Jade
175,Junior's Burger & Custard
176,Seven Saints
177,The Great Impasta
178,Carmike Beverly Cinema 18
179,Jennifer North
180,Kamakura Japanese Restaurant
181,Lincoln Square Shopping Center
182,Rose Bowl Tavern
183,Urbana Free Library
184,Women's Health Practice
185,Basmati Indian Cuisine
186,Busey
187,Caffe Paradiso
188,Armored Gopher Games
189,Exile on Main Street
190,G-Mart Comics
191,Merry Ann's Diner
192,Merry Ann's Diner
193,Orpheum Children's Science Museum
194,Other Realm
195,Panera Bread
196,Harold's Chicken Shack
197,Wal-Mart
198,Sally Beauty Supply
199,Anderson Dental
200,Amtrak
201,Esquire Lounge
202,Miko
203,Chili's
204,The Ribeye
205,Cost Cutters
206,Papa John's Pizza
207,Los Amigos
208,Thara Thai
209,Jimmy John's
210,Schnucks Pharmacy - Champaign
211,Menards
212,Papa George
213,Lai Lai Wok
214,Atlanta Bread
215,Jerusalem Middle Eastern Cuisine
216,Old Time Meat & Deli Shoppe
217,Ruby Tuesday
218,The Home Depot
219,Red Lobster
220,Aroma Cafe
221,Luna
222,Devonshire KinderCare
223,First United Methodist Child Care Center
224,Ward & Associates Realtors
225,Dunkin' Donuts
226,Blain's Farm & Fleet
227,Chester Street Bar
228,Kennedy's at Stone Creek
229,Ginza & Co
230,McAlister's Deli
231,Penn Station
232,Christopher's Fine Jewelry Design
233,Sushi Kame
234,Empire Chinese Restaurant
235,C-U Pet Sitting Service
236,Michelle's Bridal Shoppe
237,Sailfin Pet Shop
238,University High School
239,First Wok
240,A-Ri-Rang
241,Dorcas Restaurant
242,Schnucks Urbana
243,Hickory River Smokehouse
244,C-U Taxi
245,Farren's Pub & Eatery
246,Lincolnland Express
247,Peter B's Automotive
248,Larry Kanfer Photography Gallery
249,The Estate Sale
250,Illini Pest Control
251,Bagelmen's Inc
252,Joe's Brewery
253,LensCrafters
254,Martin One Source
255,The Pita Pit
256,Jolly Roger
257,Will Am-Fm Radio
258,Pitaya
259,Derald's
260,Red Lion
261,The Fubar Lounge
262,Roto-Rooter Plumbing & Drain Services
263,Garcia's Pizza In A Pan
264,Putt Zone Fun Center
265,Furniture Lounge
266,Red Roof Inn Champaign
267,Alexandra's
268,Applebee's Neighborhood Grill & Bar
269,Silver Bullet Bar
270,Subway
271,Krannert Art Museum
272,Papa John's Pizza
273,University Group
274,Alto Vineyards
275,Hilton Garden Inn
276,Qdoba Mexican Grill
277,Illini Inn
278,Quality Inn & Suites
279,Tatman's Carcare Collision Centers
280,Barfly
281,Bevande Coffee
282,El Toro
283,Little Caesar's Pizza
284,Carrie's
285,The Canopy Club
286,Michaels
287,Bob Evans
288,Te Shurt
289,Blues
290,Office the
291,Evo Cafe
292,Animal Emergency Clinic of Champaign County
293,Bo Bo China
294,Carmon's Restaurant
295,Walnut Street Tea
296,Good Servants Home Cleaning
297,Geovanti's
298,Le Shoppe
299,Papa Murphy's
300,Prairie Tap
301,All Creatures Animal Hospital
302,Manzella's Italian Patio Restaurant
303,Crazy Buffet
304,Memorial Stadium
305,One World Pizza
306,Hancock Fabrics
307,Mia Za's Cafe
308,Niro's Gyros
309,Skully's Chicken and Fish
310,Smoothie King
311,Seaboat
312,Bar Guiliani
313,New Life Tattoos
314,Shanghai 1938
315,Hampton Inn Champaign/Urbana
316,Fiesta Cafe
317,Suburban Express
318,Karen's Kloset
319,Illini Oil Change
320,Jupiter's Pizzeria and Billards
321,Assembly Hall
322,Dandelion Vintage & Used Clothing
323,Monical's Pizza
324,Alexander's Steakhouse
325,Lex-Lincolnland Express
326,Jimmy John's
327,Espresso Royale
328,Niro's Gyros
329,Nitaya Thai Restaurant
330,Yellowfin Japanese Restaurant
331,Super 8 Champaign
332,Campus Florist
333,Activities and Recreation Center - ARC
334,Millennium Nails
335,Hardee's
336,Aldi
337,Art Coop
338,Tuesday Morning
339,Holiday Inn Hotel Champaign/Urbana
340,Taco Bell
341,Hooters
342,Classic Tan
343,Yellow Checker Cab
344,Robert's
345,Cream & Flutter
346,Bentley's Pub
347,Cravings
348,Corkscrew Wine Emporium
349,Garcia's Pizza In A Pan
350,Sherman Hall
351,Champaign Cycle
352,Subway
353,Super Pantry
354,Green Street Realty
355,Crepe Cafe
356,IHOP
357,Das Cafe
358,Ashley HomeStore
359,MezzaLuna
360,Murphy's Deli
361,Homewood Suites By Hilton Champaign-Urbana
362,Good Fella Korean Bistro
363,Baytowne Dental Center
364,Bella Capelli
365,County Market Discount Foods
366,Cardinal Fitness of Urbana
367,Sonic
368,Espresso Royale
369,Lil Porgy's Bar-B-Que
370,Li'l Porgy's Bar-B-Que
371,Rocks
